id|titolo|autore|anno|synopsis|collocazione
1|"Io, te e l'amore"|"Manzini, Antonio"|2023|"Il vicequestore Rocco Schiavone è in vacanza, da solo. Ha preso una vecchia casa in un paesino della costa toscana. Ha deciso di non rompere le scatole a nessuno, nemmeno a se stesso. Ma il passato è un compagno di viaggio scomodo e petulante, e si presenta sotto forma di un fantasma che gli parla e lo tormenta. Nel frattempo, a pochi chilometri di distanza, un delitto scuote la comunità. Un ricco imprenditore viene trovato morto, e i sospetti cadono su molte persone, ognuna con un movente. Schiavone, pur non essendo in servizio, non può fare a meno di ficcare il naso, e si ritrova coinvolto in un'indagine che lo porterà a scavare nei segreti di una provincia apparentemente tranquilla."|RAGAZZI CDD 853 MAN
2|"Il gioco della notte"|"Hłasko, Marek"|2023|"Un uomo torna nella sua città natale dopo anni di assenza, e si ritrova a vagare per le strade notturne, tra bar, incontri fugaci e ricordi. Un romanzo esistenzialista, che cattura l'atmosfera cupa e disillusa della Polonia del dopoguerra. Marek Hłasko, ""il James Dean polacco"", ci regala un ritratto intenso e malinconico di una generazione perduta, che cerca un senso nella notte e nell'alcol. Una scrittura scarna, poetica e potente."|Letteratura - Opere 891.853 HLA
3|"La vita in generale"|"Basso, Valentina"|2023|"La storia di una donna comune, con una vita apparentemente normale, che si trova a fare i conti con le piccole e grandi sfide della quotidianità. Un romanzo che, con ironia e leggerezza, esplora i temi dell'amore, del lavoro, della famiglia e della ricerca della felicità. Valentina Basso ci offre un ritratto divertente e realistico della vita di oggi, in cui ogni lettore potrà riconoscersi e sorridere."|Letteratura - Opere 853.92 BAS
4|"Lo strano caso del falsario di Vermeer"|"Bosteels, T."|2023|"Un professore di storia dell'arte, esperto di Vermeer, si trova coinvolto in un'indagine su un presunto falso. Un viaggio nel mondo dell'arte, tra musei, case d'asta e laboratori di restauro, alla ricerca della verità. Un romanzo che unisce il mistero alla divulgazione, e che ci svela i segreti dei grandi maestri e le tecniche dei falsari. Una lettura affascinante e istruttiva, che ci fa guardare i quadri con occhi diversi."|Letteratura - Opere 839.313 BOS
5|La portalettere|"Iaconis, Francesca"|2023|"In un piccolo paese della Calabria, negli anni '30, arriva una donna del nord, Anna, che vince il concorso per diventare la nuova portalettere. La sua presenza, la sua indipendenza e la sua cultura sconvolgono la mentalità chiusa e maschilista del paese. Un romanzo che parla di emancipazione femminile, di pregiudizi e del potere della cultura. Una storia vera, ispirata alla nonna dell'autrice, che ci regala un personaggio femminile indimenticabile."|Letteratura - Opere 853.92 IAC
6|"Il rosmarino non capisce l'inverno"|"Bussola, Matteo"|2022|"Una donna anziana, che sta perdendo la memoria, decide di scrivere un quaderno per sua nipote, per raccontarle la sua vita e per non dimenticare. Un romanzo delicato e commovente, che parla di memoria, di affetti e del rapporto tra generazioni. Matteo Bussola, con la sua scrittura poetica e sensibile, ci regala una storia che arriva dritta al cuore, e che ci ricorda l'importanza di custodire i nostri ricordi e di tramandarli."|Letteratura - Opere 853.92 BUS
7|"L'equazione del cuore"|"Murail, Marie-Aude"|2022|"Un giovane matematico, geniale ma socialmente inetto, si ritrova a dover prendersi cura di tre bambini rimasti orfani. Un'esperienza che lo costringerà a uscire dal suo mondo di numeri e di formule, e a imparare l'equazione più difficile di tutte: quella del cuore. Un romanzo divertente, tenero e intelligente, che ci mostra come l'amore possa essere più potente di qualsiasi teorema. Una lettura che fa sorridere e commuovere."|Letteratura - Opere 843.91 MUR
8|Violeta|"Allende, Isabel"|2022|"La storia di una donna, Violeta, nata nel 1920 durante l'epidemia di Spagnola, e morta nel 2020 durante la pandemia di Covid. Attraverso la sua vita, che attraversa un secolo di storia, Isabel Allende ci racconta i grandi cambiamenti, le lotte e le passioni del Novecento. Un romanzo epico e avvincente, che è insieme la storia di una donna straordinaria e il ritratto di un'epoca. Una saga familiare in pieno stile Allende, piena di amore, di magia e di storia."|Letteratura - Opere 863 ALL
9|"Il nostro posto nel mondo"|"Di Pietrantonio, Donatella"|2022|"Tre ragazzi, cresciuti insieme in un piccolo paese di montagna, si ritrovano dopo anni e fanno i conti con il loro passato e con le scelte che hanno fatto. Un romanzo che parla di amicizia, di radici e della ricerca del proprio posto nel mondo. Donatella Di Pietrantonio, con la sua scrittura scarna e potente, ci regala un'altra storia intensa e commovente, che esplora i legami che ci definiscono e i luoghi che ci appartengono."|Letteratura - Opere 853.92 DIP
10|"La ricetta della seta"|"Fläring, Liz"|2022|"Una giovane donna, dopo la morte della nonna, eredita una vecchia casa e un misterioso quaderno di ricette. Tra le pagine, scopre la storia della sua famiglia e un segreto legato alla produzione della seta. Un romanzo che intreccia passato e presente, cucina e storia, amore e mistero. Una lettura affascinante e sensoriale, che ci trasporta in un mondo di profumi, di sapori e di tessuti preziosi."|Letteratura - Opere 839.73 FLA
